0.947799 0.962193 1.231411 0.658041 1.329810 0.991331 1.479471 0.934094 1.037811 0.619214 0.964544 0.799497 1.234247 1.180557 0.987068 0.733408 1.369518 1.177212 1.368424 0.756727 1.538500 0.822800 0.947499 1.582023 1.500141
0.863070 0.759961 1.607093 0.629957 1.144667 0.720228 0.786575 1.317846 0.906641 1.010748 0.754716 0.809003 1.200756 0.684406 1.146006 0.903513 1.038155 1.346817 0.675498 0.779167 1.036481 0.648200 0.751620 0.574421 0.935266
0.996025 0.764050 0.858698 1.089958 1.126913 1.182761 1.381128 0.818823 0.674093 1.097845 0.575421 1.312980 0.924960 1.040157 1.733126 0.609791 1.103646 0.772202 0.698532 1.274878 1.312670 1.527106 1.252235 1.093491 1.214118
0.813169 0.697440 1.905122 0.951709 0.857048 0.900472 1.041357 0.774680 0.857248 0.494915 0.737210 1.032931 0.790616 1.041556 0.749950 0.961486 0.882695 1.173765 0.737226 0.835301 0.926622 0.688127 1.317471 1.728792 0.742210
1.009688 1.293031 1.327129 1.624079 0.732173 0.504172 1.326219 0.781717 0.827194 0.688484 1.050496 0.794646 0.979225 0.889855 1.136132 1.261542 0.737583 1.338587 1.424944 1.315749 0.907779 0.693538 0.860499 1.223104 1.843356
0.893430 0.865419 0.990302 1.163477 0.835609 1.099432 1.270288 1.474302 0.940874 0.629537 0.988913 1.213994 1.356904 1.004407 1.481198 1.115301 0.820037 1.314272 1.488410 0.918354 0.733344 0.789892 1.101696 1.398084 1.028777
0.539531 0.912181 0.932376 0.497560 1.389282 0.892154 1.458139 0.760952 0.955918 0.493293 0.970909 1.306221 1.598065 0.951585 1.114911 0.689427 1.195737 0.879951 0.674371 1.060914 1.055534 1.430436 0.837377 1.177588 1.563044
0.549366 0.996787 1.459710 1.142343 1.132157 1.418279 0.874308 1.134024 1.857129 0.581656 0.836574 1.076107 1.713797 1.098044 1.372733 0.995581 1.038390 1.380170 1.042599 1.479170 1.239877 0.854764 0.931666 1.008205 1.026191
0.870642 0.880103 1.711900 1.306280 0.756603 1.075743 0.797820 0.724172 1.467463 1.157554 1.023005 0.510563 1.012904 1.096308 1.103318 1.067703 0.872475 1.179797 1.406095 1.505328 0.770558 1.011603 1.225008 1.130722 0.791525
0.791177 1.067810 1.648625 0.795706 1.185642 0.659703 1.474547 1.299948 0.923533 0.414964 0.717759 1.293342 1.433616 1.117070 0.967399 1.001818 1.321148 1.471517 1.220846 0.700233 0.681466 1.206435 0.897448 1.110458 1.168971
